target_variable,target_class,target_class_label,layer,name,importance,explainer
Erlotinib,0,,cnv,CASP2,3.2771753e-05,IntegratedGradients
Erlotinib,0,,cnv,KCNB1,2.0814601e-05,IntegratedGradients
Erlotinib,0,,cnv,FRMD6-AS2,3.2121934e-05,IntegratedGradients
Erlotinib,0,,cnv,MAPRE1,2.239043e-05,IntegratedGradients
Erlotinib,0,,cnv,VCPKMT,4.0060408e-05,IntegratedGradients
Erlotinib,0,,cnv,LINC01599,3.1145297e-05,IntegratedGradients
Erlotinib,0,,cnv,SEMA4A,1.9238078e-05,IntegratedGradients
Erlotinib,0,,cnv,TDRD9,2.591919e-05,IntegratedGradients
Erlotinib,0,,cnv,SKAP2,2.5134443e-05,IntegratedGradients
Erlotinib,0,,cnv,C7orf71,2.201596e-05,IntegratedGradients
Erlotinib,0,,cnv,OPRL1,3.3118853e-05,IntegratedGradients
Erlotinib,0,,cnv,CYCS,1.891224e-05,IntegratedGradients
Erlotinib,0,,cnv,AKR1B10,3.6362682e-05,IntegratedGradients
Erlotinib,0,,cnv,MIR4650-2,3.8264745e-05,IntegratedGradients
Erlotinib,0,,cnv,GHRHR,2.6974398e-05,IntegratedGradients
Erlotinib,0,,cnv,LINC01588,2.8976585e-05,IntegratedGradients
Erlotinib,0,,cnv,ADCYAP1R1,3.192649e-05,IntegratedGradients
Erlotinib,0,,cnv,TMX1,3.135261e-05,IntegratedGradients
Erlotinib,0,,cnv,LINC00174,3.3329878e-05,IntegratedGradients
Erlotinib,0,,cnv,RABGEF1,3.5668414e-05,IntegratedGradients
Erlotinib,0,,cnv,KCTD7,3.2799573e-05,IntegratedGradients
Erlotinib,0,,cnv,CTSW,4.6843266e-05,IntegratedGradients
Erlotinib,0,,cnv,FOSL1,4.4207496e-05,IntegratedGradients
Erlotinib,0,,cnv,CCDC85B,4.6750305e-05,IntegratedGradients
Erlotinib,0,,cnv,FIBP,4.275802e-05,IntegratedGradients
Erlotinib,0,,cnv,LINC00640,3.3564495e-05,IntegratedGradients
Erlotinib,0,,cnv,AKR1B15,3.2484004e-05,IntegratedGradients
Erlotinib,0,,cnv,GSTK1,4.097111e-05,IntegratedGradients
Erlotinib,0,,cnv,SLC17A9,3.469462e-05,IntegratedGradients
Erlotinib,0,,cnv,NT5C3A,3.1023483e-05,IntegratedGradients
