,E0,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,E13,E14,E15,E16,E17,E18,E19,E20,E21,E22,E23,E24,E25,E26,E27,E28
TT2609-C02,-0.026043467,-0.2140287,-0.6047868,0.04927349,-0.5030184,-0.08854662,0.2745232,-0.6538671,0.073760346,0.8062259,0.5389699,0.42856193,0.16237912,-0.17948404,-0.5760068,0.14756292,-0.38292763,-0.626144,0.17096859,-0.25304767,0.66926265,0.17722848,0.58546716,-0.15342948,-0.40687126,-0.23218894,-0.10293508,0.5695007,0.87928206
Capan-1,0.016267449,0.03723303,-0.60114884,-0.059812747,-0.5760749,-0.05617936,0.27149272,-0.52870274,0.1903912,0.44009256,0.11587736,0.093510166,0.26481122,-0.06608468,-0.55922246,0.6911415,-0.50247926,-0.53652394,-0.14269505,-0.4364961,0.31691697,0.10142589,0.6432511,-0.38173592,-0.5975044,-0.14281031,-0.053434465,0.43276584,0.34309232
G-402,0.10969387,-0.71202654,-1.1313175,0.32898226,-0.0758661,-0.059243128,0.4144917,-0.22385433,0.12752588,1.2530608,0.8992563,1.0986544,0.50065994,-0.56207407,-0.116452605,-0.628364,0.033014446,-0.9966979,0.80206347,-0.4292997,0.41199,0.12913296,-0.03419441,-0.4780118,0.20950162,-0.8362626,0.2155691,0.46085212,1.4550295
ONS-76,-0.20516169,-0.7054827,-1.0790657,0.53869927,-0.3536388,-0.014489062,0.48597226,-0.7377397,-0.30384207,1.3739045,1.132457,0.99816346,-0.20431438,-0.26425886,-0.63683724,-0.75676876,-0.20780931,-0.8926505,0.92738867,0.14907658,1.0824182,0.37331018,0.34796435,-0.20324193,-0.056758404,-0.40818512,-0.09055413,0.78215766,1.6524261
DV-90,0.109431595,-0.050375115,-0.45783266,-0.16539031,-0.48684195,-0.1241408,0.1863522,-0.5028385,0.30381167,0.5864981,0.28370935,0.26109245,0.45416227,-0.22217005,-0.431171,0.4822746,-0.3842359,-0.56141955,-0.11328183,-0.5264817,0.37011725,0.052944608,0.5739651,-0.20236076,-0.46092945,-0.27534422,-0.03392575,0.42120883,0.5721823
LK-2,0.11975292,-0.03790697,-0.4466368,-0.18174472,-0.48560953,-0.12685259,0.17963478,-0.49133217,0.32133842,0.5697579,0.26426202,0.24833359,0.47639212,-0.22542214,-0.4201365,0.507775,-0.38433555,-0.55648845,-0.1349378,-0.5473136,0.3473265,0.043475892,0.57308877,-0.20608865,-0.46504796,-0.27863204,-0.02866819,0.40991104,0.54878557
MKN7,0.006739691,0.044151057,-0.6153745,-0.04858665,-0.58440393,-0.04967258,0.27994993,-0.5321434,0.17833507,0.42815447,0.1022158,0.079255804,0.2453313,-0.051414713,-0.5720279,0.7080238,-0.51335657,-0.53468585,-0.14340925,-0.4262933,0.31411722,0.10676126,0.64971083,-0.39790753,-0.6096994,-0.13030541,-0.05571466,0.43487006,0.32415447
KYSE-140,0.11975292,-0.03790697,-0.4466368,-0.18174472,-0.48560953,-0.12685259,0.17963478,-0.49133217,0.32133842,0.5697579,0.26426202,0.24833359,0.47639212,-0.22542214,-0.4201365,0.507775,-0.38433555,-0.55648845,-0.1349378,-0.5473136,0.3473265,0.043475892,0.57308877,-0.20608865,-0.46504796,-0.27863204,-0.02866819,0.40991104,0.54878557
HCC1195,-0.0506301,-0.2437293,-0.63145673,0.08823165,-0.50595415,-0.08208683,0.29052484,-0.68127644,0.0320096,0.8461031,0.58529574,0.45895505,0.10942501,-0.1717372,-0.6022923,0.08681795,-0.3826902,-0.6378905,0.22255564,-0.20342365,0.7235528,0.19978407,0.5875546,-0.14454922,-0.3970605,-0.22435693,-0.11545921,0.5964134,0.9350159
KP-4,0.12085635,-0.19397834,-0.8405451,0.036871865,-0.34369832,-0.051411614,0.32252845,-0.2688841,0.27292502,0.6350429,0.2586375,0.41812044,0.51374763,-0.28367004,-0.28056827,0.3446536,-0.278431,-0.7189298,0.13022512,-0.59172755,0.11998814,0.047384217,0.31141165,-0.55499977,-0.2783621,-0.47604972,0.12987569,0.34337974,0.59098846
SU-DHL-10,-0.026846148,-0.042466015,-0.6420845,0.014303282,-0.570445,-0.05085203,0.29617068,-0.58752847,0.111000314,0.5510708,0.24449183,0.18582097,0.17039439,-0.06998736,-0.60138935,0.52404106,-0.48562285,-0.56669885,-0.021203808,-0.33594882,0.44784406,0.14608166,0.63844246,-0.33676964,-0.55632585,-0.14326936,-0.07925242,0.4924351,0.50157595
