,E0,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,E13,E14,E15,E16,E17,E18,E19,E20,E21,E22,E23,E24,E25,E26,E27,E28,E29,E30,E31,E32,E33,E34,E35,E36,E37,E38,E39,E40,E41,E42,E43,E44,E45,E46,E47,E48,E49,E50,E51,E52,E53,E54,E55,E56,E57,E58,E59,E60,E61,E62,E63,E64,E65,E66,E67,E68,E69,E70,E71,E72,E73,E74,E75,E76,E77,E78,E79,E80,E81,E82,E83,E84,E85,E86,E87,E88,E89,E90,E91,E92,E93,E94,E95,E96,E97,E98,E99,E100,E101,E102,E103,E104,E105,E106,E107,E108,E109,E110,E111,E112,E113,E114,E115,E116,E117,E118,E119,E120,E121,E122,E123,E124,E125,E126
COLO 668,-4.371706,3.6945376,7.096775,4.3081846,1.8640126,-7.703694,5.4360647,-5.382937,1.2563604,-2.0473397,0.63483703,-10.115418,10.445759,-7.052461,8.327049,-2.9173422,-4.9589458,-5.8915267,-3.7698474,5.3580346,-1.1356212,-7.376428,4.4338717,-3.448149,-2.5953708,6.7195563,1.2938703,1.1731322,-8.5911045,0.08638254,0.16693076,4.153874,-0.4682824,2.09647,-2.974805,-0.44128656,-0.07364863,-1.7294147,-2.0042934,-1.0964673,0.026711283,-5.407376,7.888178,1.1158798,12.363464,-0.06296453,1.9700825,-4.806579,3.054224,-7.0672374,3.1695654,-2.156422,-10.648058,-9.939662,-5.0668707,8.952038,-0.38553864,-2.2134707,-5.055038,-6.77154,-0.9299828,-2.0749958,2.1703641,1.7340453,-9.897816,3.4551878,3.1109278,-2.4657102,2.9417667,-7.8825083,-4.697869,5.172426,-4.1017814,8.646697,-3.4736595,3.5003579,5.4392247,6.816888,-2.2242332,6.8790474,13.777997,0.70142937,-0.21669559,11.504181,-2.8235722,10.172095,5.5563426,4.7909403,-8.560629,6.688421,-1.6131036,-6.222554,-7.6991253,-5.0395675,3.0740893,-6.256955,-0.60462075,-8.844581,2.6282206,-6.7891283,8.063187,-0.58509445,-4.5462694,-7.8941174,-0.34326178,-0.112813555,6.360613,2.1948466,1.1978474,-7.894059,-0.64272714,-4.3812346,-2.7779694,8.514901,1.4064299,2.8851578,-10.887027,2.0786004,-7.087042,2.7279253,-11.605418,-5.1622148,-14.624696,-1.9072005,1.3395011,-0.1331348,-0.69542205
FTC-133,5.948205,-6.002527,-13.360602,-16.05142,-7.822729,6.8893003,-14.231323,10.282451,-11.768022,11.5053215,-1.2484031,16.35132,-21.659697,12.673581,-8.043133,1.1504867,7.842448,18.17972,-8.875879,-5.2253313,19.38775,7.3681846,2.4967132,9.741482,-12.873386,-8.060962,-5.2535596,-0.49660712,16.191954,-1.4983971,-0.4641207,-12.114731,7.1620803,4.9807596,13.042891,-4.20574,4.747741,10.820542,5.4820547,0.36111966,-7.7691793,-1.8129139,-17.056658,-5.839079,-28.21537,1.7792299,-3.0942833,23.053623,-3.2960043,7.539916,-10.964288,17.686337,10.598175,23.706047,20.015846,-22.310507,-4.4597745,8.267006,14.313908,9.77007,-4.5458775,10.670178,-5.7998123,3.2362595,18.37386,-7.3053346,-11.949654,-4.0946827,8.437452,-4.5896487,6.9125123,-14.132224,-4.2647142,-17.874472,-5.3542833,-3.1172278,-9.109729,-4.2337995,2.8571236,-18.24882,-30.30919,-0.6136414,-3.4475412,-9.332821,-4.1444383,-1.9171062,1.9882743,7.8190513,9.197001,-11.944559,-8.381615,10.366139,9.389588,0.2838641,-8.216403,-3.2548838,4.4345913,2.4476385,-12.802294,6.7581625,-7.304644,-1.6177433,8.720873,8.746142,-2.9734018,-2.33251,-16.5225,-4.3545165,0.94117606,24.35992,8.312299,12.711314,-7.1993012,-0.026279118,1.8528743,-14.96534,8.774574,-12.892679,1.7918013,-4.809599,21.728895,14.810963,17.828798,5.7491803,3.3738081,-2.253667,5.526427
MUTZ-5,-3.7861009,4.149386,6.6742907,3.5077233,1.0558436,-7.1616845,5.166824,-5.1535454,1.5092592,-1.148164,0.49405316,-9.902697,9.565475,-5.9774027,8.054267,-2.477729,-5.2513967,-4.8083844,-3.8815098,5.0409884,-0.9554137,-6.4550443,3.931535,-3.7847855,-2.522451,6.9460554,0.43608138,0.2990569,-8.332384,-0.13522574,0.4236532,3.9465714,-0.6913044,2.11702,-3.139486,-0.049655728,-0.38897258,-1.673361,-1.1538248,-1.4038346,0.32519084,-4.9378676,7.809082,1.8599873,11.566277,0.14593145,1.856073,-4.053041,2.3251302,-6.431849,2.7784984,-1.1272757,-9.84185,-8.785159,-3.660245,8.488329,-0.036731474,-1.2346026,-3.7394602,-6.27986,-0.7329397,-1.4323947,1.8311787,2.4234805,-9.295366,3.0110023,3.3429081,-2.4716556,3.39036,-7.2995515,-4.7116084,4.1819816,-4.075305,7.9808035,-3.6697576,3.034929,4.801117,6.309737,-2.1518557,6.7334414,12.188,0.84411764,-0.2139856,10.861241,-3.2575483,10.579656,4.5716114,4.683568,-7.542479,6.1357865,-1.7193587,-5.168657,-6.9013596,-6.129117,3.2535152,-6.5465713,-0.6928126,-8.490172,2.1442645,-6.539651,7.474564,-0.7469171,-4.4928656,-7.791602,-0.9074738,0.40342966,6.002471,1.9663738,1.3533477,-6.5797014,-0.046104643,-5.0130925,-2.0189376,7.5429316,1.9956856,2.2023714,-9.749041,2.3957953,-6.704736,2.1933877,-10.210498,-4.4540844,-13.879184,-1.7579347,1.401718,0.85001606,-0.423005
HT-29,3.4576402,-3.1716807,-5.18681,-6.5103126,-5.673998,1.7040488,-5.8110995,3.1069975,-5.9816175,5.5217724,-0.35779297,5.9605703,-8.523457,4.4900417,-2.9665813,2.340914,3.2988482,7.7755146,-5.6834135,-1.0200258,8.808472,1.5717963,1.9095315,4.870555,-6.853742,-2.213024,-2.0174093,-0.06265373,6.1055527,-0.45093748,-1.8828338,-4.6267753,4.486874,2.344044,4.3552995,-2.2285545,1.7571002,6.1114426,2.573494,-1.6139121,-3.8303783,-3.1564066,-6.209839,-2.3661172,-10.245048,1.3464037,0.016383914,8.839432,-1.2318095,3.342022,-5.2328253,7.404985,2.7680364,10.038231,9.542264,-9.200098,-3.4218183,3.2963705,6.2369447,4.159856,-2.7122464,3.9491475,-3.1695735,1.8267758,8.336713,-2.45619,-4.281725,-1.8776848,5.3363557,-4.01655,3.6585908,-5.4463553,-2.7211988,-7.3675694,-3.902539,-0.1501945,-4.2097573,-1.7062135,1.7993962,-8.00506,-13.6554785,1.0339308,-0.9699199,-3.908671,-1.8864455,-0.24448323,1.9566118,4.9454403,3.3951561,-3.2540224,-4.4126077,5.1221867,2.6843557,-1.5704243,-2.856553,-3.4604928,0.54285425,-1.3907632,-5.9759617,2.4726334,-1.8355001,-1.8076396,2.5623453,3.138726,-2.356858,0.47921228,-8.103392,-0.9630536,-0.033513326,10.68923,4.683048,4.902574,-3.8000832,1.1096505,2.173729,-5.411467,2.996285,-4.9358077,-0.63151836,-0.66270936,7.8477745,7.480004,6.1948805,0.77071106,2.4768517,-0.24570946,2.9159544
LS1034,2.3857305,-2.7443478,-5.18332,-5.8838615,-3.9475012,2.2516804,-5.701981,3.9387941,-5.5043674,4.892641,-0.2698644,6.4150214,-7.994953,5.094287,-2.9277325,1.5768856,3.303907,7.815035,-4.5815444,-1.2807647,7.8513327,1.990827,2.4724078,5.0042677,-5.5597634,-3.4782057,-2.003292,0.15553632,5.775259,-0.79269594,-1.1628819,-4.7684712,3.4512756,2.2990713,5.376586,-1.0155612,1.4936904,5.308834,2.4278605,-0.5356497,-4.3112073,-1.6197964,-7.5366793,-2.6130285,-11.413323,1.550852,-0.53133094,8.702447,-1.3370632,3.4451523,-4.9042587,6.6913795,3.8260303,9.284072,8.415827,-9.088228,-2.03013,2.5651128,5.569657,3.7728376,-2.7769203,3.4690568,-2.8987603,1.2546184,8.084258,-2.662124,-4.6794543,-1.4530919,3.6740031,-2.8264472,3.767703,-5.458429,-1.832125,-6.947831,-2.6079414,-0.2799186,-4.237296,-2.3070438,1.9727222,-7.373906,-12.645451,0.36872217,-0.73520976,-3.5365114,-1.5235739,-1.424406,1.9155468,3.8400774,3.016404,-4.007492,-3.3851454,4.5101666,3.3838422,-0.042778663,-2.9713514,-1.9457049,0.5029849,-0.2909966,-4.6154356,1.9015045,-2.0120776,-0.71089005,2.225543,2.9072099,-1.2311583,-0.58404315,-7.358258,-1.2203374,0.03821979,9.784211,3.9599326,4.8539643,-3.5451465,0.83654886,1.5168153,-5.1990895,3.1384761,-5.3650174,-0.30979794,-0.9130688,7.5569763,6.891493,6.3351483,1.7045224,1.6467464,-0.6269734,2.3748455
MEC-2,2.0529168,-2.4215498,-5.3076954,-5.763613,-3.6553726,2.0922475,-5.305467,3.9831736,-5.1762543,5.039525,-0.2615867,6.225924,-7.6386724,5.1786003,-2.706628,1.5024564,2.9334607,8.01303,-4.397642,-1.2769043,7.3789525,2.0307066,2.6401944,4.8369184,-5.220021,-3.3344717,-1.8081102,0.11401191,5.2462997,-0.79740226,-0.8554881,-4.664192,3.1044216,2.1472282,5.424816,-0.5477094,1.1642079,4.863375,2.4667094,-0.29871896,-4.1733036,-1.3250258,-7.558206,-2.3753073,-11.307515,1.5877757,-0.47260892,8.534717,-1.4138445,3.6689966,-4.976568,6.7559156,4.174521,8.896093,8.346031,-8.647279,-1.5737014,2.4836986,5.4518504,3.476925,-2.6439404,3.4962773,-2.9507108,1.2289546,7.7725825,-2.5324738,-4.5178294,-1.3171802,3.5661411,-2.4670353,3.773572,-5.2582917,-1.4977934,-6.497237,-2.0116258,-0.048771575,-4.21667,-2.5041728,1.940945,-6.9219275,-12.014777,0.31924865,-0.5459684,-3.291148,-1.4150352,-1.4287207,1.6545334,3.5351489,2.941496,-4.0317917,-2.9975533,4.443944,3.6065683,-0.081268154,-2.8913383,-1.7999941,0.23627105,-0.19928567,-4.401881,1.5429456,-2.06963,-0.4127617,1.8977005,2.5366328,-1.0739135,-0.5238048,-6.982187,-1.2297843,-0.03720062,9.614304,3.852094,4.3636794,-3.267143,0.54114443,1.5012603,-5.187204,3.2410882,-5.0779757,-0.3637312,-1.1128621,7.2370243,6.713423,6.17477,1.9511694,1.5237364,-0.45974404,1.9941956
COLO 320,-2.2872322,2.2420294,3.6601617,1.8932233,0.630285,-4.445331,3.0367503,-2.9514265,0.63819057,-0.4642098,0.33021697,-5.818931,5.704765,-3.7466922,4.7251024,-1.4535532,-2.912492,-2.556368,-2.4561815,2.8954768,-0.522773,-4.1289325,2.4919808,-1.9995296,-1.6547306,4.07151,0.9172096,0.7046,-4.854766,0.27332464,0.1421727,2.252816,-0.2149959,1.3160528,-1.4311177,-0.42000383,-0.061180174,-1.033146,-0.71308905,-0.69090617,0.15762424,-3.2634413,4.479142,0.6945697,6.7169785,-0.060461435,1.2544302,-2.1514108,1.4462452,-3.5390048,1.5776807,-0.70436186,-5.6908293,-5.1387324,-2.3019402,4.8560076,-0.12514667,-0.93421453,-2.6285806,-3.81326,-0.44428277,-0.7499141,0.98171955,1.1945965,-5.7651258,1.7823905,1.7823943,-1.4579828,2.283375,-4.4932556,-2.5018253,2.7992833,-2.2279072,4.654303,-1.8858949,1.9872489,2.8395352,4.0145507,-1.363019,3.566459,7.3372307,0.6370367,-0.15415786,6.5067368,-1.7949133,6.2944508,2.7758455,2.6753633,-4.6987743,3.6683671,-0.92604446,-3.0680764,-3.8919325,-3.4358883,1.4671984,-3.671031,-0.43456447,-5.352458,1.0091581,-3.9116514,4.387575,-0.4760015,-2.5112665,-4.5397325,-0.6084993,0.42074674,3.303138,1.1205857,0.64564836,-3.8896248,0.04692432,-2.7138247,-1.4826893,4.5152006,0.9210814,1.1535735,-5.776699,1.4574344,-4.010255,1.3271334,-6.279696,-2.732295,-7.9484487,-0.7137282,0.79022217,0.32402062,-0.6406143
SUIT-2,6.4948044,-6.624979,-11.518576,-13.371238,-10.079983,4.7601657,-13.122753,8.075133,-12.172901,11.2723055,-0.43670478,14.0352745,-18.776167,11.128558,-6.777787,3.9391766,7.3543396,17.359724,-10.909216,-2.6987484,18.4577,4.574629,5.131056,11.005242,-12.968351,-7.133509,-4.7245555,-0.3071885,13.221721,-1.773255,-2.9303782,-10.49493,8.207576,5.025669,10.54876,-2.5979922,3.3551815,12.588726,5.1434174,-2.2152534,-9.162849,-4.38447,-15.894689,-5.275938,-24.402699,3.495898,-1.0492103,19.067286,-2.8973768,7.726561,-11.689099,15.419317,7.3030963,21.485893,20.224247,-20.511332,-5.705466,6.305227,13.6955385,8.743215,-6.017579,7.520414,-6.924533,3.35609,18.946537,-5.505338,-9.672731,-3.3200355,9.606637,-6.842468,8.315769,-12.104941,-4.924757,-15.653379,-6.9989867,-0.86984813,-9.472035,-5.3963346,4.4144826,-16.81106,-29.443596,1.4180375,-1.4382772,-8.392552,-3.628191,-2.9984887,4.3622212,9.35225,7.508511,-8.596964,-8.283968,10.821404,6.8885264,-1.3818341,-6.02683,-5.524976,1.2484322,-0.8966216,-11.210098,5.0336356,-4.7112,-2.4933517,5.1476316,6.717146,-3.854305,-0.60887516,-17.021343,-2.2360437,-0.08228429,23.120071,9.421704,10.553607,-8.052922,2.2281837,4.256957,-11.550284,7.0653133,-11.967041,-0.72078997,-1.762799,17.379137,16.473244,13.824756,2.7320905,4.463513,-0.8909873,6.2868385
COR-L51,-4.2377596,3.719902,6.962757,4.254494,1.6956565,-7.7034984,5.459719,-5.359392,1.3194001,-1.8423688,0.6700735,-10.148876,10.31952,-6.9337587,8.298241,-2.7909951,-5.0714602,-5.6535363,-3.8093953,5.2528076,-1.1285558,-7.250263,4.379525,-3.5075119,-2.53851,6.805245,1.3188105,1.0919203,-8.6067095,0.12449399,0.24429274,4.155949,-0.49897656,2.0644417,-3.1399677,-0.3223524,-0.19131929,-1.7541281,-1.9064168,-1.167699,0.15698749,-5.345877,7.9171476,1.2726307,12.352176,-0.09349775,1.9892789,-4.775885,2.9183137,-6.870342,2.9743137,-1.9688096,-10.539176,-9.738461,-4.7850423,8.931629,-0.38051125,-2.1203575,-4.8481116,-6.7660623,-0.89544225,-1.9864204,2.0675147,1.7116295,-9.797907,3.5311852,3.2403903,-2.3988502,3.1331353,-7.7388225,-4.628678,5.153421,-4.067867,8.623306,-3.4271247,3.4504638,5.3539696,6.7052293,-2.2243607,6.9018235,13.607368,0.8388697,-0.15075247,11.415806,-2.844664,10.282245,5.373363,4.7610626,-8.366105,6.6389575,-1.5734508,-6.016074,-7.5551634,-5.251547,3.0488913,-6.3287845,-0.6724781,-8.83976,2.4845366,-6.751351,7.940717,-0.6322932,-4.5767045,-7.9251814,-0.5483293,0.10589897,6.286664,2.164789,1.1303982,-7.592774,-0.4985474,-4.546794,-2.6605563,8.37081,1.5324312,2.8305051,-10.699951,2.164447,-6.9860163,2.6518466,-11.492326,-5.0107536,-14.521675,-1.8573815,1.4043686,0.057471856,-0.6994509
RERF-LC-Ad2,-3.2206166,1.0305238,-2.068197,-2.259687,0.9199374,-0.7640904,0.40322566,2.4392762,-0.9340773,2.9530923,-0.5368581,-0.087740056,1.0233974,1.7048515,1.0694867,0.13049357,-0.11816092,3.25085,-1.6535542,0.4738366,-0.14847538,-0.09605411,4.181529,2.0831418,-0.872773,-1.0955479,1.0373642,1.3852102,-2.64549,0.42661232,0.22903174,-0.5169914,-0.36294177,-0.19868244,4.584278,1.6830932,-0.5756442,-0.6985171,0.8565716,1.2660115,-2.3739953,0.3733841,-3.2922504,-1.0581867,-3.914477,0.9329204,0.52877593,2.5383408,-0.390043,1.8944271,-0.9521028,3.079933,2.8476613,-0.3769251,1.0807242,0.44956073,3.354493,-0.396958,-0.680863,-1.0573566,-1.7852864,1.3823278,-1.3868642,0.6044431,-1.8801924,-0.486967,-2.1550765,-0.4700384,0.8205802,-0.3492964,0.9462323,-0.67023367,0.8149068,0.051904794,2.542773,3.0445833,-1.6322006,-0.6935456,0.4279775,-1.1343582,0.84454966,-0.46912423,0.97880524,2.068544,0.10564098,0.8601728,0.21874046,-0.38500327,-1.3567526,-0.8940687,0.60411954,-1.051404,1.3536108,0.01686103,-0.2968076,0.2509061,-2.0592065,-2.134859,-0.02938855,-3.999442,1.0437613,2.7381876,-1.3187028,-1.8033586,1.6388682,-0.73762095,-0.066266656,-1.0114055,-0.5909549,1.25946,1.413513,-1.1534756,-0.12531394,-0.77113837,-0.6220401,-1.4955109,-0.054929256,-0.29585782,-2.4905457,-1.6120222,-1.2020658,0.50352544,0.77039385,2.0345368,-0.8939286,-0.98801935,-2.8188512
RS4;11,-4.504743,5.0664797,7.835866,4.7154894,1.6864836,-8.527378,6.1586475,-6.3236055,2.0812533,-2.3413737,0.10202727,-11.828293,12.0406685,-7.389381,9.791193,-3.1139524,-6.526636,-6.8736405,-3.965918,6.072138,-1.5946252,-8.030972,4.025233,-4.9274483,-2.9844103,8.391909,0.6308086,0.30707562,-10.0694,-0.37271127,0.55625457,4.8669643,-1.1472712,2.4272828,-3.8276303,-0.20160207,-0.71232253,-2.6516418,-1.4372075,-1.4487875,0.357225,-6.0452776,9.456637,2.3030257,14.454167,0.54499036,2.0832384,-5.2869134,3.171664,-7.630128,3.787782,-2.132904,-11.494775,-11.443892,-5.093585,10.369974,0.047278173,-1.112947,-5.137277,-7.572656,-0.09954321,-1.8789201,2.3585792,2.9640565,-11.031053,3.3893735,3.8550959,-2.882785,3.1676757,-8.608487,-5.8754573,5.5295587,-4.155385,10.137046,-4.095631,3.8274753,6.279987,7.499782,-2.6289525,8.2597885,15.25577,0.47073993,-0.3498504,12.886015,-3.7476554,12.110995,5.4753265,5.525375,-9.334577,7.388795,-1.5177934,-6.104775,-8.001277,-6.2337637,3.9951277,-7.3254046,-1.1095127,-9.45481,2.979847,-7.3196507,8.624674,-0.9899696,-5.587116,-9.177951,-0.6991474,0.34932077,7.4751616,2.393693,2.0802076,-8.858706,-0.9425131,-6.230407,-2.3481746,8.7002325,2.233578,2.5606492,-11.2874565,3.4425905,-7.523817,3.0598679,-12.631015,-5.8071322,-16.843283,-2.1863823,1.76815,1.0867459,-0.58119935
HCC2279,-4.3629684,3.8443232,7.1835155,4.447664,1.7487357,-7.958332,5.6681705,-5.5372357,1.4006898,-1.905057,0.705894,-10.493214,10.658825,-7.149042,8.571988,-2.8612125,-5.2855396,-5.838426,-3.9023964,5.3948603,-1.1982052,-7.444149,4.509051,-3.6573002,-2.5723996,7.0375085,1.3602965,1.0970771,-8.910648,0.1209977,0.28699034,4.309745,-0.5430733,2.1038456,-3.3418472,-0.25862637,-0.24951711,-1.8315966,-1.9746107,-1.212426,0.19938034,-5.4652085,8.187627,1.3733702,12.793029,-0.11362475,2.047848,-4.9960694,2.9859915,-7.07595,3.0243895,-2.0276484,-10.867163,-10.057193,-4.912053,9.254932,-0.39051473,-2.1968634,-4.973554,-7.0020185,-0.91930366,-2.0531178,2.1278248,1.7271366,-10.082597,3.697994,3.3995175,-2.44128,3.2246537,-7.9269414,-4.7728314,5.3413444,-4.1906886,8.939358,-3.5102224,3.5485713,5.526134,6.871903,-2.289429,7.1987305,14.07924,0.8843801,-0.12691872,11.775618,-2.9238443,10.618409,5.5140862,4.903299,-8.587877,6.859979,-1.5989423,-6.193102,-7.79597,-5.4378524,3.1610143,-6.546491,-0.72092795,-9.092071,2.5758374,-6.959814,8.178359,-0.6459071,-4.75731,-8.202261,-0.59571975,0.14085847,6.516695,2.2285125,1.1502365,-7.8155885,-0.5144919,-4.7476296,-2.6993098,8.628153,1.6199138,2.9657538,-11.023626,2.2458994,-7.176176,2.7294545,-11.876266,-5.154285,-15.005118,-1.9284749,1.4681838,0.093430325,-0.7142254
NOMO-1,-3.8619828,3.6736376,6.52343,3.7260745,1.3882573,-7.0790563,5.024917,-4.997869,1.2624459,-1.5235535,0.55836964,-9.48838,9.49815,-6.2309384,7.7684383,-2.563227,-4.8126917,-5.082404,-3.6554441,4.9261465,-0.9678535,-6.6149373,3.974868,-3.405415,-2.4599586,6.4757957,0.891201,0.7677753,-7.9873886,0.00633898,0.26256555,3.8330986,-0.5047338,2.01447,-2.8868744,-0.29095143,-0.18995917,-1.5918067,-1.5294676,-1.1853656,0.16892189,-4.95834,7.4391017,1.3501582,11.366493,0.012816695,1.8284316,-4.201403,2.5761597,-6.409224,2.8150313,-1.5932691,-9.756527,-8.878844,-4.179265,8.256338,-0.25954396,-1.6837991,-4.227859,-6.2038875,-0.802928,-1.6752583,1.9126394,1.907352,-9.099695,3.0906386,3.049866,-2.342867,3.017389,-7.237488,-4.43436,4.48292,-3.8810925,7.889687,-3.3890078,3.1121225,4.8798904,6.2613664,-2.089565,6.4233723,12.346063,0.76034236,-0.21567832,10.614408,-2.8646312,9.844018,4.8550153,4.5082397,-7.6777177,6.1063857,-1.5824285,-5.4256296,-6.945089,-5.2466207,2.942046,-6.065615,-0.5985572,-8.252751,2.244029,-6.3080716,7.383883,-0.65394557,-4.26344,-7.4189625,-0.60568076,0.14530568,5.8297205,1.9828242,1.1835899,-6.8804135,-0.32732865,-4.3883753,-2.3315542,7.671315,1.586786,2.4208975,-9.828921,2.09887,-6.5391054,2.3617966,-10.392776,-4.580519,-13.521554,-1.7247738,1.3145235,0.3011731,-0.54739666
Hs 706.T,-0.7501643,1.3141843,-0.9165151,-5.1356125,-4.593233,-3.940172,0.1158309,-0.865476,-1.7910594,5.532346,-1.5375497,-3.3239229,1.4298849,-0.1429285,2.6003551,0.7351216,-0.6381261,2.9968345,-7.16046,3.3661602,4.0504885,-3.1598752,3.563459,1.4560964,-6.176824,4.050915,0.58605635,0.9316088,-3.4502192,1.2056786,-2.179644,0.41725567,1.9299066,1.3875995,4.385894,-3.6025085,0.7071295,1.1412935,2.4073389,-1.4918005,-2.3871114,-6.9031434,1.8528665,-0.2914468,0.26217338,1.958694,2.8072536,4.412844,0.43510768,0.5557317,-0.4580934,5.1779165,-2.759604,0.18206234,4.360132,0.60306513,-0.816091,2.6706054,0.9377222,-1.0081836,-0.7003123,2.5150473,-2.0016346,5.540301,-3.355079,-0.8889157,-0.8600903,-2.7867157,7.6389623,-7.122056,-0.42669627,-0.4332815,-2.2725966,-0.0260004,-3.1789062,3.8479033,-0.42838824,3.3555367,-0.15490334,-3.072629,-1.6590164,0.9391235,-0.8483502,3.8286765,-2.7897243,6.8061,2.093647,4.709525,-3.087797,1.9202539,-2.3538897,1.0587134,-1.2135422,-6.186307,0.7235792,-5.1877313,-1.8383961,-7.950114,-3.8946087,-4.0398073,2.7310402,-1.6172636,-1.6690556,-2.6937068,-1.4031122,2.3241181,-1.7388893,1.0653251,1.0045438,2.7236626,3.5986347,-1.8305134,-2.0605361,1.5334897,1.8029016,-4.374419,-2.1962838,2.5425708,-5.5269384,-0.013359614,-1.2409487,1.7319305,-2.4162722,-0.31090313,2.1859412,1.4264804,-1.2249655
JHOS-2,-4.9930115,3.250133,5.4991016,2.5312076,1.5297081,-7.028697,4.8044987,-3.4599037,0.5124205,0.011806433,0.671713,-8.654939,8.544802,-4.976936,7.0794134,-2.3706284,-3.8402839,-3.043599,-4.5313883,4.765644,-0.5378515,-6.0257154,6.156162,-1.5557597,-2.6662498,4.930823,1.2680018,1.5431978,-8.353095,0.13633767,0.18632942,3.2664723,-0.07692974,1.7446241,-0.9689005,0.5174746,-0.19677615,-0.94440895,-1.4184228,-0.6447363,-1.0022571,-4.3940287,5.2340755,0.51496696,8.4260025,0.04673397,1.8680862,-2.8019502,2.1121798,-5.4247956,1.6042477,0.027389348,-8.474699,-7.6784854,-2.998976,7.5956335,0.87289625,-2.3751957,-3.5458913,-5.95685,-2.4007928,-1.2299271,1.2806966,1.6628247,-8.834627,3.2268198,1.8555367,-2.3743563,3.5548406,-7.2825003,-3.529852,3.7235708,-3.9983213,7.1072974,-2.5546222,4.000176,3.4086444,5.3908105,-1.7654395,5.2303143,11.447368,0.7947291,0.21466137,10.632363,-2.3594007,9.277803,5.2021537,4.239,-7.557041,5.2253957,-1.5285916,-5.7811775,-6.504151,-5.2924433,2.418487,-6.1203723,-1.0126325,-9.1114645,2.0190728,-7.641673,7.5610433,0.8482365,-4.2460694,-7.429393,0.07442851,-0.2915534,5.191208,1.348386,0.33188668,-5.187952,0.6026945,-4.0553946,-2.2894454,7.568639,1.1282502,2.137656,-9.650925,0.9329223,-7.3194613,1.2768688,-10.005412,-3.3865328,-12.039956,-1.0767428,0.73525137,-0.5775467,-1.5049734
BFTC-909,7.1413774,-7.3819046,-12.237816,-14.736955,-10.968682,5.7366433,-15.109602,8.623086,-13.670836,11.896361,-0.5080615,16.309572,-21.085619,12.473489,-7.9208307,3.5776088,8.70619,18.658436,-11.964718,-2.7207916,20.75605,5.123918,5.1768713,12.418641,-14.664133,-8.34708,-6.203455,-0.5095682,15.291841,-2.4464905,-3.1341918,-12.034355,9.1959305,5.9960046,12.071233,-3.4610078,4.4249253,14.332427,5.6681714,-1.9657657,-10.519308,-4.7482576,-17.765972,-5.990835,-27.594618,4.0870614,-1.425755,21.37941,-3.074329,7.74622,-12.558745,16.476515,7.8253307,23.983593,22.08485,-23.273493,-6.491053,7.1708207,15.501655,10.307511,-6.5609517,8.547969,-7.206038,4.239792,21.662977,-6.779363,-11.209523,-4.187402,9.861382,-8.017816,8.868707,-14.427735,-6.010607,-17.897951,-8.299251,-1.5666795,-10.4970255,-5.776303,4.519624,-18.705793,-33.246803,0.9032756,-2.1915364,-9.612274,-4.0892715,-3.8779635,5.273814,10.75344,8.232592,-9.9124155,-9.597265,11.678269,7.341613,-1.1008294,-6.609249,-5.950726,2.1589565,-0.5013019,-11.922861,6.078863,-5.4230833,-2.781307,6.3315177,7.941373,-3.5956595,-1.5959377,-18.662783,-2.575629,0.24235688,24.97869,9.765094,12.608539,-8.853951,2.8023336,4.5151315,-12.9592905,7.520381,-14.0074,-0.90527,-1.9823554,20.065485,18.135334,15.505746,2.8964028,4.5444236,-1.312673,7.391847
KMRC-1,-2.36403,3.2808757,3.5230203,-0.08426526,-1.167759,-5.7944403,3.2174954,-3.4321442,0.9846737,1.4829112,-0.4555603,-7.5740275,6.579102,-3.3996441,5.751519,-1.2253336,-3.5615492,-1.7392513,-4.4628215,4.1943703,0.28209808,-4.9290032,2.9750726,-1.9068872,-3.1639194,5.8416185,0.8821003,0.56335354,-6.5087786,0.7496574,-0.5457703,2.8973622,-0.096022375,1.7033614,0.18229042,-1.8315078,-0.18096405,-1.405646,0.53772813,-1.4171124,-0.27670735,-5.555892,5.867971,1.1845818,7.2441525,0.89359313,2.1978745,-0.90265,1.3583802,-3.118037,2.0051823,0.9063633,-6.5971556,-5.434249,-0.80234885,5.6106987,0.06489921,0.53777236,-2.3387103,-4.2751713,0.14587855,-0.17487252,0.296934,3.8149707,-7.4968443,1.2104589,2.151137,-2.3827162,4.83431,-6.4579325,-3.1350555,2.5879934,-2.410283,4.804057,-2.9392812,3.2008343,2.865376,5.0502315,-1.5252873,2.7297604,6.755672,0.90524143,-0.5453295,7.555474,-2.8895888,8.737212,2.6916304,3.6617496,-5.6252403,4.120315,-1.1743498,-2.336119,-4.004236,-6.0656705,2.3066425,-4.9657264,-1.1864693,-7.8372073,-0.09315945,-5.3930206,5.0063853,-1.2409244,-3.202231,-5.445545,-1.1267372,1.4251784,3.163843,1.8461735,1.2147294,-3.33624,1.1171781,-4.2727265,-1.5258203,3.9252722,1.540379,-0.7239445,-5.8960304,3.369116,-5.7760453,1.2220306,-6.474282,-2.5073555,-8.809772,-0.96299446,1.3660178,1.6979094,-1.2450674
